Gal,logP,mW,sig_mW,Fe/H,z,V-I
N2442,1.5584685625237948,23.174680000000002,0.58,0.23499999999999943,0.004889999999999999,1.62
N2442,1.5626496722119168,24.23276,0.61,-0.06300000000000061,0.004889999999999999,1.34
N2442,1.5641924606261979,23.55802,0.41,0.37400000000000055,0.004889999999999999,1.43
N2442,1.5651391519697895,23.7359,0.39,-0.025000000000000355,0.004889999999999999,1.85
N2442,1.5653755027140737,23.46346,0.59,0.21899999999999942,0.004889999999999999,1.39
N2442,1.569724949226159,23.3245,0.52,0.42300000000000004,0.004889999999999999,1.75
N2442,1.5720579899263045,23.937839999999998,0.46,-0.06199999999999939,0.004889999999999999,1.56
N2442,1.5725230978496376,23.5017,0.59,0.22199999999999953,0.004889999999999999,1.55
N2442,1.5800121125294244,23.626079999999998,0.44,0.1999999999999993,0.004889999999999999,1.72
N2442,1.5801263254115825,23.55556,0.51,0.21899999999999942,0.004889999999999999,1.54
N2442,1.5801263254115825,23.7517,0.59,0.053000000000000824,0.004889999999999999,1.55
N2442,1.5833121519830777,24.0231,0.54,0.29499999999999993,0.004889999999999999,1.65
N2442,1.583538819254352,23.173099999999998,0.44,-0.06899999999999906,0.004889999999999999,1.65
N2442,1.5997739391463883,23.67556,0.56,0.26200000000000045,0.004889999999999999,1.54
N2442,1.6073477767684134,23.76924,0.55,0.07399999999999984,0.004889999999999999,1.66
N2442,1.6097011023793995,23.33556,0.6,0.21799999999999997,0.004889999999999999,1.54
N2442,1.6100210246641453,24.22206,0.37,0.29100000000000037,0.004889999999999999,1.29
N2442,1.6124659639531422,23.680100000000003,0.45,-0.1869999999999994,0.004889999999999999,2.15
N2442,1.619719265611727,23.20028,0.44,0.26500000000000057,0.004889999999999999,2.02
N2442,1.6203442997544932,23.28572,0.56,-0.010999999999999233,0.004889999999999999,1.98
N2442,1.624385241420265,23.92364,0.53,0.23399999999999999,0.004889999999999999,1.26
N2442,1.6363875858131567,23.733439999999998,0.42,0.4369999999999994,0.004889999999999999,1.96
N2442,1.6440444928147488,24.23836,0.32,0.03200000000000003,0.004889999999999999,1.74
N2442,1.6527296960692477,23.3187,0.56,-0.11299999999999955,0.004889999999999999,2.05
N2442,1.658393026279124,22.862740000000002,0.49,0.0600000000000005,0.004889999999999999,1.91
N2442,1.6671726724788685,23.09468,0.33,-0.16499999999999915,0.004889999999999999,1.62
N2442,1.668665415454492,23.500980000000002,0.39,-0.1769999999999996,0.004889999999999999,2.07
N2442,1.6711728427150832,23.60942,0.42,-0.041999999999999815,0.004889999999999999,1.53
N2442,1.674585602302914,23.53328,0.41,0.23000000000000043,0.004889999999999999,1.52
N2442,1.6812412373755872,23.99906,0.45,0.3049999999999997,0.004889999999999999,1.79
N2442,1.6885977750811698,23.43276,0.52,0.22100000000000009,0.004889999999999999,1.34
N2442,1.7160033436347992,23.198719999999998,0.44,0.3230000000000004,0.004889999999999999,1.48
N2442,1.7162538258960367,23.39836,0.53,0.15600000000000058,0.004889999999999999,1.74
N2442,1.7295697263019698,23.54836,0.58,-0.0909999999999993,0.004889999999999999,1.74
N2442,1.7311857076340005,23.758719999999997,0.51,0.15700000000000003,0.004889999999999999,1.48
N2442,1.763128376799137,22.95572,0.47,0.12899999999999956,0.004889999999999999,1.98
N2442,1.7725417326409434,22.724680000000003,0.48,0.016000000000000014,0.004889999999999999,1.62
N2442,1.7732743483374538,23.21416,0.44,0.1590000000000007,0.004889999999999999,1.44
N2442,1.7951149856303632,22.89572,0.41,0.29100000000000037,0.004889999999999999,1.98
N2442,1.8025000677643934,23.58222,0.34,-0.20500000000000007,0.004889999999999999,1.73
N2442,1.805092878342673,23.1694,0.28,-0.2010000000000005,0.004889999999999999,2.1
N2442,1.8287243271387914,23.27468,0.38,-0.16499999999999915,0.004889999999999999,1.62
N2442,1.842546836495015,22.89222,0.22,-0.24799999999999933,0.004889999999999999,1.73
N2442,1.8426716337607885,22.7738,0.4,0.0470000000000006,0.004889999999999999,1.7
N2442,1.875986771428488,22.79082,0.19,-0.08999999999999986,0.004889999999999999,1.63
N2442,1.8895257966711911,23.11802,0.35,-0.06600000000000072,0.004889999999999999,1.43
N3021,1.2089785172762535,25.36488,0.58,0.006999999999999673,0.00514,0.92
N3021,1.2610248339923973,24.664,0.54,0.1479999999999997,0.00514,1.0
N3021,1.3138672203691535,26.36382,0.58,0.10599999999999987,0.00514,1.13
N3021,1.3224260524059526,25.33838,0.6,0.08999999999999986,0.00514,1.17
N3021,1.3613500243522665,25.25786,0.29,-0.1590000000000007,0.00514,0.99
N3021,1.379305517750582,24.82908,0.46,0.14400000000000013,0.00514,1.22
N3021,1.4278105726759902,25.034519999999997,0.37,0.051000000000000156,0.00514,1.18
N3021,1.4926207220431917,25.21102,0.53,0.37299999999999933,0.00514,0.93
N3021,1.500785172917456,24.20418,0.5,0.22100000000000009,0.00514,0.87
N3021,1.520876381688342,24.42084,0.31,0.18299999999999983,0.00514,1.06
N3021,1.5478977175630972,25.074859999999997,0.31,0.12100000000000044,0.00514,1.49
N3021,1.5608626947274649,24.85978,0.3,0.1120000000000001,0.00514,1.27
N3021,1.5482665451707454,24.90576,0.43,0.3420000000000005,0.00514,0.84
N3021,1.595606434865603,24.564519999999998,0.31,0.07099999999999973,0.00514,1.18
N3021,1.600210306409328,25.60136,0.43,0.14000000000000057,0.00514,1.24
N3021,1.646207612206685,24.836119999999998,0.24,0.04499999999999993,0.00514,0.58
N3021,1.7500453120117676,24.14048,0.53,0.26500000000000057,0.00514,1.32
N3021,1.7640266076920372,23.9626,0.24,0.018000000000000682,0.00514,0.9
N3370,1.381295623003826,24.30346,0.43,-0.0470000000000006,0.0042699999999999995,1.39
N3370,1.3816564825857869,25.24768,0.56,0.10500000000000043,0.0042699999999999995,1.12
N3370,1.3912880485952974,25.0347,0.25,-0.37700000000000067,0.0042699999999999995,1.05
N3370,1.3960248966085933,24.98856,0.22,-0.2270000000000003,0.0042699999999999995,1.04
N3370,1.404491617758686,24.77962,0.66,0.136000000000001,0.0042699999999999995,0.83
N3370,1.4050046650503694,23.989600000000003,0.38,-0.041999999999999815,0.0042699999999999995,1.4
N3370,1.4214393902200497,24.7075,0.27,-0.1509999999999998,0.0042699999999999995,1.25
N3370,1.4253711664389412,25.244519999999998,0.32,-0.11500000000000021,0.0042699999999999995,1.18
N3370,1.426023015689876,24.7568,0.45,-0.0259999999999998,0.0042699999999999995,1.2
N3370,1.4282968139828796,25.0068,0.3,-0.25900000000000034,0.0042699999999999995,1.2
N3370,1.4546924492394768,24.571360000000002,0.28,-0.19299999999999962,0.0042699999999999995,1.24
N3370,1.4622482153549974,24.58434,0.34,-0.015000000000000568,0.0042699999999999995,1.31
N3370,1.470116353151004,25.252419999999997,0.24,-0.21700000000000053,0.0042699999999999995,1.03
N3370,1.4775553321989812,24.129260000000002,0.53,0.11899999999999977,0.0042699999999999995,1.09
N3370,1.479143247978613,24.90172,0.55,0.07000000000000028,0.0042699999999999995,0.98
N3370,1.4815859363676223,24.43188,0.21,-0.28200000000000003,0.0042699999999999995,1.42
N3370,1.4825877695267675,24.86364,0.38,0.013999999999999346,0.0042699999999999995,1.26
N3370,1.4941545940184429,24.2089,0.33,-0.1880000000000006,0.0042699999999999995,1.35
N3370,1.4956830676169153,24.58838,0.54,0.08200000000000074,0.0042699999999999995,1.17
N3370,1.496514518697745,25.068559999999998,0.24,-0.1039999999999992,0.0042699999999999995,1.04
N3370,1.4978967429132204,24.8961,0.26,-0.11100000000000065,0.0042699999999999995,1.15
N3370,1.5157414166693652,24.0875,0.37,0.06300000000000061,0.0042699999999999995,1.25
N3370,1.5323721335678775,23.70066,0.59,0.1330000000000009,0.0042699999999999995,1.19
N3370,1.5358002908248978,24.2526,0.7,0.2240000000000002,0.0042699999999999995,0.9
N3370,1.539577883345309,23.494519999999998,0.36,0.1980000000000004,0.0042699999999999995,1.18
N3370,1.5436956323092448,24.50908,0.48,0.15499999999999936,0.0042699999999999995,1.22
N3370,1.544811911757776,24.44662,0.28,-0.12700000000000067,0.0042699999999999995,1.33
N3370,1.5471591213274176,24.11592,0.27,-0.08699999999999974,0.0042699999999999995,1.28
N3370,1.5474054596674898,24.377679999999998,0.21,-0.2629999999999999,0.0042699999999999995,1.12
N3370,1.552911450216509,24.226280000000003,0.21,-0.24799999999999933,0.0042699999999999995,1.02
N3370,1.55303301620244,24.23996,0.24,-0.1379999999999999,0.0042699999999999995,1.14
N3370,1.5618166643189575,24.45294,0.39,-0.023999999999999133,0.0042699999999999995,1.21
N3370,1.563599728881531,24.690659999999998,0.21,-0.32699999999999996,0.0042699999999999995,1.19
N3370,1.5735677730392186,24.66452,0.25,-0.04899999999999949,0.0042699999999999995,1.18
N3370,1.583878598498626,24.0675,0.31,-0.06700000000000017,0.0042699999999999995,1.25
N3370,1.5862496388660419,24.2533,0.24,-0.0129999999999999,0.0042699999999999995,0.95
N3370,1.58849580100721,23.86294,0.26,-0.05599999999999916,0.0042699999999999995,1.21
N3370,1.5935075893317652,24.27242,0.26,-0.09200000000000053,0.0042699999999999995,1.03
N3370,1.5994463757252757,23.83206,0.48,0.0909999999999993,0.0042699999999999995,1.29
N3370,1.6073477767684134,24.08786,0.4,0.07399999999999984,0.0042699999999999995,0.99
N3370,1.6124659639531422,24.42504,0.45,0.09699999999999953,0.0042699999999999995,1.36
N3370,1.615107987443194,24.02294,0.49,0.10800000000000054,0.0042699999999999995,1.21
N3370,1.646207612206685,23.59206,0.29,0.041999999999999815,0.0042699999999999995,1.29
N3370,1.647089428716555,24.24382,0.43,0.2729999999999997,0.0042699999999999995,1.13
N3370,1.6325585145326718,23.40504,0.32,0.012000000000000455,0.0042699999999999995,1.36
N3370,1.6567687792660166,24.15206,0.47,0.040000000000000924,0.0042699999999999995,1.29
N3370,1.6680129716418322,24.22522,0.2,-0.21799999999999997,0.0042699999999999995,1.23
N3370,1.6781540380104374,23.82154,0.24,0.08500000000000085,0.0042699999999999995,1.11
N3370,1.6939906104607767,24.24066,0.32,-0.031000000000000583,0.0042699999999999995,1.19
N3370,1.6962689967455329,23.95364,0.23,-0.07099999999999973,0.0042699999999999995,1.26
N3370,1.7332775339325817,23.93224,0.22,-0.0649999999999995,0.0042699999999999995,1.16
N3370,1.7424894645817752,24.30996,0.35,0.08999999999999986,0.0042699999999999995,1.14
N3370,1.7907072873276797,23.3175,0.19,-0.08699999999999974,0.0042699999999999995,1.25
N3370,1.7909884750888159,23.68768,0.26,0.021000000000000796,0.0042699999999999995,1.12
N3370,1.825491029879431,23.35488,0.19,-0.18200000000000038,0.0042699999999999995,0.92
N3370,1.8288531596766402,23.254859999999997,0.21,-0.17799999999999905,0.0042699999999999995,1.49
N3370,1.8308451923086115,23.198719999999998,0.51,0.2370000000000001,0.0042699999999999995,1.48
N3370,1.8387861449465945,23.120659999999997,0.19,0.019000000000000128,0.0042699999999999995,1.19
N3370,1.8623103099542704,23.24698,0.3,0.11500000000000021,0.0042699999999999995,1.07
N3370,1.877889425371484,23.08206,0.22,0.06400000000000006,0.0042699999999999995,1.29
N3370,1.9290099854939613,23.50768,0.3,0.20500000000000007,0.0042699999999999995,1.12
N3370,1.945320840792275,23.354,0.18,-0.06799999999999962,0.0042699999999999995,1.0
N3370,1.9827233876685453,23.035220000000002,0.21,-0.0259999999999998,0.0042699999999999995,1.23
N3447,1.3023309286843994,24.55488,0.44,-0.1769999999999996,0.0035600000000000002,0.92
N3447,1.307496037913213,25.3519,0.42,0.053000000000000824,0.0035600000000000002,0.85
N3447,1.3079237036118816,24.80032,0.26,-0.11800000000000033,0.0035600000000000002,0.88
N3447,1.3100557377508915,25.7289,0.46,-0.32699999999999996,0.0035600000000000002,1.35
N3447,1.312811826212088,24.867160000000002,0.5,-0.06700000000000017,0.0035600000000000002,0.94
N3447,1.3159703454569178,25.28506,0.42,0.07200000000000095,0.0035600000000000002,0.79
N3447,1.3184807251745174,24.269260000000003,0.48,-0.03599999999999959,0.0035600000000000002,1.09
N3447,1.3246939138617746,25.1347,0.25,-0.13599999999999923,0.0035600000000000002,1.05
